2023-04-12 07:52:58 status half-installed libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status unpacked libpython2.7-stdlib:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 install python2.7:amd64 <none> 2.7.16-2+deb10u1
2023-04-12 07:52:58 status half-installed python2.7:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status unpacked python2.7:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 install libpython2-stdlib:amd64 <none> 2.7.16-1
2023-04-12 07:52:58 status half-installed libpython2-stdlib:amd64 2.7.16-1
2023-04-12 07:52:58 status unpacked libpython2-stdlib:amd64 2.7.16-1
2023-04-12 07:52:58 install libpython-stdlib:amd64 <none> 2.7.16-1
2023-04-12 07:52:58 status half-installed libpython-stdlib:amd64 2.7.16-1
2023-04-12 07:52:58 status unpacked libpython-stdlib:amd64 2.7.16-1
2023-04-12 07:52:58 startup packages configure
2023-04-12 07:52:58 configure libpython2.7-minimal:amd64 2.7.16-2+deb10u1 <none>
2023-04-12 07:52:58 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status half-configured libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 configure python2.7-minimal:amd64 2.7.16-2+deb10u1 <none>
2023-04-12 07:52:58 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status half-configured python2.7-minimal:amd64 2.7.16-2+deb10u1
2023-04-12 07:52:58 status installed python2.7-minimal:amd64 2.7.16-2+deb10u1
